time,Qin,Qout_meas,Tair,Twater,Tsubsoil,pHwater,pHsubsoil,Condwater,DO_mgL,Bromide_Coutmeas,RainRate,WindSpeed,RH,fvalveopen,6PPD_Cout,6PPD-Q_Cout,CBZ_Cout,BTZ_Cout,SFX_Cout,FIP_Cout,HMMM_Cout,CAFF_Cout,Bromide_Min
8542.5,8.061792784007673e-06,8.061792784007673e-06,21.464247122021217,21.464247122021217,21.464247122021217,6.952258158123519,6.952258158123519,635.3069177899341,5.216401323801516,3549695924.824022,0,0,74,1,0.028014609843608373,0.018811257083205753,0.008196956512128317,0.046849959259571555,0.004427566588146993,0.03793894050758104,0.003178194706785399,0.011731540632484508,0.0
8543.0,8.069018640812337e-06,8.069018640812337e-06,21.463397340967692,21.463397340967692,21.463397340967692,6.949720926885277,6.949720926885277,635.1677865695082,5.219897803144264,3550456864.487208,0,0,74,1,0.02795301298105451,0.01865051162317391,0.007923093876518517,0.04689203366223732,0.004447072829489317,0.03794129857909963,0.0031722411712286637,0.011439817390204512,0.0
8543.5,8.076117323776259e-06,8.076117323776259e-06,21.46254910790208,21.46254910790208,21.46254910790208,6.9471795529688425,6.9471795529688425,635.0278980256988,5.223408200252079,3551217912.889773,0,0,74,1,0.02789150385463323,0.018491736766799997,0.0076525885656592504,0.04693335886688614,0.004466315580569648,0.03794360741111352,0.0031663606209925933,0.011151670428637031,0.0
8544.0,8.083088426614022e-06,8.083088426614022e-06,21.461702428289236,21.461702428289236,21.461702428289236,6.944634104020838,6.944634104020838,634.8872549835679,5.226932373827852,3551979070.039485,0,0,74,1,0.027830087976317593,0.018334974892657296,0.007385512780082808,0.04697393284552629,0.004485290644862831,0.037945867171544675,0.0031605546256539743,0.010867176657044723,0.0
8544.5,8.089931543040215e-06,8.089931543040215e-06,21.46085730759403,21.46085730759403,21.46085730759403,6.942084647687886,6.942084647687886,634.7458602681774,5.230470182574477,3552740335.944114,0,0,74,1,0.02776877085808067,0.018180268379319096,0.007121938720321422,0.0470137535701661,0.004503993825843712,0.03794807802831501,0.0031548247547895964,0.010586412984690215,0.0
8545.0,8.096646266769422e-06,8.096646266769422e-06,21.460013751281316,21.460013751281316,21.460013751281316,6.939531251616612,6.939531251616612,634.6037167045888,5.234021485194846,3553501710.611429,0,0,74,1,0.027707558011895523,0.018027659605358688,0.006861938586907403,0.04705281901281386,0.004522420926987137,0.03795024014934649,0.0031491725779762485,0.010309456320836151,0.0
8545.5,8.103232191516231e-06,8.103232191516231e-06,21.459171764815963,21.459171764815963,21.459171764815963,6.936973983453635,6.936973983453635,634.4608271178643,5.237586140391854,3554263194.0491986,0,0,74,1,0.02764645494973523,0.01787719094934936,0.006605584580372997,0.04709112714547787,0.0045405677517679505,0.037952353702561045,0.0031435996647907177,0.010036383574745143,0.0
8546.0,8.10968891099523e-06,8.10968891099523e-06,21.45833135366283,21.45833135366283,21.45833135366283,6.934412910845579,6.934412910845579,634.3171943330655,5.24116400686839,3555024786.2651916,0,0,74,1,0.02758546718357284,0.0177289047898644,0.006352948901250467,0.04712867594016644,0.004558430103661,0.037954418855880606,0.0031381075848097933,0.009767271655679852,0.0
8546.5,8.116016018920997e-06,8.116016018920997e-06,21.45749252328678,21.45749252328678,21.45749252328678,6.931848101439069,6.931848101439069,634.1728211752544,5.244754943327349,3555786487.267177,0,0,74,1,0.027524600225381435,0.0175828435054771,0.006104103750072101,0.047165463368887876,0.00457600378614113,0.037956435777227134,0.0031326979076102632,0.009502197472902901,0.0
8547.0,8.122213109008126e-06,8.122213109008126e-06,21.456655279152688,21.456655279152688,21.456655279152688,6.929279622880726,6.929279622880726,634.0277104694925,5.2483588084716235,3556548297.062924,0,0,74,1,0.027463859587134064,0.017439049474760743,0.005859121327370154,0.04720148740365047,0.004593284602683188,0.03795840463452256,0.003127372202768917,0.009241237935676917,0.0
8547.5,8.128279774971196e-06,8.128279774971196e-06,21.455819626725397,21.455819626725397,21.455819626725397,6.926707542817172,6.926707542817172,633.881865040842,5.251975461004107,3557310215.6602015,0,0,74,1,0.027403250780803814,0.017297565076288626,0.00561807383367692,0.04723674601646254,0.0046102683567620165,0.037960325595688814,0.0031221320398625418,0.008984469953264546,0.0
8548.0,8.134215610524798e-06,8.134215610524798e-06,21.45498557146978,21.45498557146978,21.45498557146978,6.924131928895032,6.924131928895032,633.7352877143645,5.25560475962769,3558072243.066778,0,0,74,1,0.027342779318363743,0.017158432688634026,0.005381033469524635,0.047271237179332376,0.004626950851852465,0.03796219882864786,0.003116978988467927,0.008731970434928425,0.0
8548.5,8.140020209383515e-06,8.140020209383515e-06,21.454153118850698,21.454153118850698,21.454153118850698,6.9215528487609275,6.9215528487609275,633.5879813151217,5.2592465630452665,3558834379.2904234,0,0,74,1,0.02728245071178691,0.01702169469037024,0.005148072435445593,0.04730495886426829,0.004643327891429377,0.03796402450132163,0.0031119146181618615,0.008483816289931174,0.0
8549.0,8.145693165261933e-06,8.145693165261933e-06,21.45332227433302,21.45332227433302,21.45332227433302,6.918970370061481,6.918970370061481,633.4399486681758,5.26290072995973,3559596624.3389053,0,0,74,1,0.027222270473046387,0.016887393460070555,0.004919262931972056,0.04733790904327858,0.004659395278967599,0.037965802781632065,0.0031069404985211322,0.00824008442753546,0.0
